record_type,holding_month,signal_month,thesis_name,thesis_label,role,candidate_id,candidate_label,params_label,anchor_trade_date,next_execution_date,position,security_id,ticker_local,eodhd_symbol,company_name,country_code,exchange_group,currency,signal_score,asof_trade_date,anchor_close_sek,median_daily_value_60d_sek,market_cap_sek,order_notional_sek,target_weight,adv_participation_ratio,data_status,one_way_cost_bps,action,gross_return,trade_cost,net_return
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,5,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,0.9498868873963637,2026-02-27T00:00:00,231.86001149999998,623328203.595494,,31250.0,0.125,5.0134102419468805e-05,fresh,52.75,hold,-0.042018797826862145,0.001240625,-0.04325942282686215
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,6,BOL.ST,BOL,BOL.ST,Boliden AB,SE,Nasdaq Stockholm,SEK,0.8794241151769631,2026-02-27T00:00:00,717.4,774994818.1,,31250.0,0.125,4.0322850256745474e-05,fresh,27.75,enter,-0.042018797826862145,0.001240625,-0.04325942282686215
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,7,JYSK.CO,JYSK,JYSK.CO,Jyske Bank A/S,DK,Nasdaq Copenhagen,DKK,0.8349907557140779,2026-02-27T00:00:00,1353.765595,120511687.825715,,31250.0,0.125,0.00025931094787415147,fresh,52.75,hold,-0.042018797826862145,0.001240625,-0.04325942282686215
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,8,ISS.CO,ISS,ISS.CO,ISS A/S,DK,Nasdaq Copenhagen,DKK,0.7932172869147653,2026-02-27T00:00:00,321.13575000000003,108839709.55251,,31250.0,0.125,0.00028711947255724124,fresh,52.75,hold,-0.042018797826862145,0.001240625,-0.04325942282686215
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,1,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,2.3921315472150804,2026-03-31T00:00:00,225.0,176473896.60000002,,31250.0,0.125,0.0001770800135434874,fresh,27.75,hold,-0.028462379429893256,0.002325,-0.030787379429893257
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.9366343669652788,2026-03-31T00:00:00,713.5,180954923.5,,31250.0,0.125,0.00017269494189805782,fresh,27.75,hold,-0.028462379429893256,0.002325,-0.030787379429893257
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,3,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.0533777913840732,2026-03-31T00:00:00,617.4,1187226792.0,,31250.0,0.125,2.6321845337870373e-05,fresh,27.75,hold,-0.028462379429893256,0.002325,-0.030787379429893257
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,4,BOL.ST,BOL,BOL.ST,Boliden AB,SE,Nasdaq Stockholm,SEK,0.9079787234042533,2026-03-31T00:00:00,485.7,832754830.5,,31250.0,0.125,3.752605071199284e-05,fresh,27.75,hold,-0.028462379429893256,0.002325,-0.030787379429893257
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,5,SAND.ST,SAND,SAND.ST,Sandvik AB,SE,Nasdaq Stockholm,SEK,0.7857587814484361,2026-03-31T00:00:00,357.4,877231227.0,,31250.0,0.125,3.5623446861177457e-05,fresh,27.75,enter,-0.028462379429893256,0.002325,-0.030787379429893257
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,6,PAAL-B.CO,PAAL-B,PAAL-B.CO,Per Aarsleff Holding A/S,DK,Nasdaq Copenhagen,DKK,0.7664723547076484,2026-03-31T00:00:00,1088.00462,27042760.88436,,31250.0,0.125,0.0011555772775431827,fresh,65.25,hold,-0.028462379429893256,0.002325,-0.030787379429893257
